,weighted_flow
0,7.531228938586779e-13
10,368.7930551009835
20,649.3310141306226
30,679.8612809958979
40,660.841003151268
50,620.7775604014494
60,618.1419175818154
70,618.1419175818154
80,618.1419175818154
