Index,Signal control node ID
0,4
1,6
2,14
3,16
4,20
5,22
6,30
7,32
8,44
9,46
10,54
11,56
12,60
13,62
14,69
15,71
16,80
17,82
18,88
19,90
20,94
21,100
22,102
23,110
24,112
25,116
26,118
27,126
28,128
29,139
30,141
31,148
32,150
33,154
34,156
35,164
36,166
37,174
38,176
39,181
