,total_vehicle,weighted_density,weighted_flow
0,109,2.196340775368737,80.83107795275407
1,238,4.795679858144582,171.4626484212583
2,288,5.803175626662352,191.61527351575106
3,340,6.850971225920832,221.6728401887007
4,302,6.085274441847327,171.48652130629418
5,318,6.407673087773013,174.12400869017418
6,254,5.118078504070268,90.66219398399035
7,166,3.3448859514789944,79.1650208009498
8,124,2.498589505924068,48.567354713229264
9,87,1.7530426372209187,60.24094309750874
10,87,1.7530426372209187,62.13990149890444
11,88,1.773192552591274,48.896267838574595
12,116,2.337390182961225,75.70807144826017
13,129,2.599339082775845,71.15452766617403
14,113,2.276940436850159,54.1670839381974
15,132,2.659788828886911,63.02740911425135
16,111,2.236640606109448,49.988147526458235
17,127,2.559039252035134,46.74110968370596
18,147,2.962037559442242,99.0599338507678
19,163,3.284436205367928,120.84889516234057
20,171,3.4456355283307714,93.30367320736471
21,172,3.4657854437011264,114.70137409658756
22,165,3.324736036108639,90.48617608317304
23,147,2.962037559442242,71.4760565173758
24,145,2.921737728701531,74.00906223090205
25,172,3.4657854437011264,81.40901598751644
26,199,4.009833158700722,77.91839294718726
27,176,3.546385105182548,114.49258709411914
28,187,3.7680341742564574,141.98368126915017
29,187,3.7680341742564574,123.59677724618737
30,222,4.473281212218896,149.64055017098684
31,245,4.936729265737069,119.93177013216973
32,214,4.312081889256053,113.3353007004276
33,224,4.513581042959607,102.16213209176004
34,210,4.231482227774631,112.45267304996567
35,231,4.654630450552094,79.24686345008546
36,236,4.755380027403871,142.5779094493658
37,250,5.037478842588847,164.3688392589947
38,261,5.259127911662756,176.14752329048576
39,248,4.997179011848136,153.1358015422676
40,242,4.876279519626004,146.04009253160783
41,235,4.735230112033516,121.327804016015
42,255,5.138228419440623,113.68050103952375
43,265,5.339727573144177,140.5533536048045
44,292,5.883775288143773,95.51233535578336
45,287,5.783025711291996,151.0178552827672
46,323,6.50842266462479,230.57146325834535
47,295,5.944225034254839,181.49199355043189
48,303,6.105424357217682,199.1788475362218
49,291,5.863625372773417,162.3892902099348
50,311,6.266623680180525,163.31806016201708
51,344,6.931570887402253,154.02952611817472
52,322,6.488272749254435,148.06352018129087
53,334,6.730071733698699,101.94550340493083
54,334,6.730071733698699,175.58700693363312
55,351,7.07262029499474,225.10269739229963
56,395,7.959216571290378,243.29401816406886
57,421,8.483114370919617,298.0469069504923
58,350,7.052470379624386,176.05438206039122
59,333,6.709921818328344,170.89479336361305
60,372,7.495768517772204,177.26545413642475
61,382,7.697267671475758,202.0903769215834
62,418,8.42266462480855,120.34144555444583
63,405,8.160715724993931,197.04632978443803
64,398,8.019666317401445,258.84043126468015
65,403,8.12041589425322,256.79627379348864
66,446,8.986862255178503,287.01082821617615
67,405,8.160715724993931,224.0086045923712
68,376,7.576368179253626,185.17453231398216
69,402,8.100265978882865,194.05749501775588
70,415,8.362214878697486,209.08196060179802
71,416,8.382364794067842,132.42785577837174
72,433,8.724913355363883,228.61892435091627
73,498,10.034657854436983,299.9362729333037
74,501,10.09510760054805,304.3986269697325
75,506,10.195857177399827,337.54725978786996
76,433,8.724913355363883,224.96936879492344
77,414,8.34206496332713,217.6992358806809
78,464,9.3495607318449,224.9672753992868
79,455,9.1682114935117,222.20927252212127
80,470,9.470460224067033,157.82503328815378
81,484,9.752559039252008,235.3623689850144
82,473,9.530909970178097,295.62907739048615
83,481,9.692109293140941,287.19812204997027
