,weighted_flow
0,7.531228938586779e-13
10,411.7146771141218
20,646.6554153024304
30,579.2074074169469
40,471.0772540219228
50,364.446481196795
60,246.08755323506054
70,210.1620325693609
80,210.1620325693609
90,210.1620325693609
