,weighted_flow
0,7.591614170177375e-13
10,475.15224572466116
20,741.9649981591925
30,851.4874490638647
40,814.804008400427
50,787.336227704923
60,777.7880801576036
70,770.710769442095
80,770.710769442095
90,770.710769442095
