,total_vehicle,weighted_density,weighted_flow
0,1323,1.3635913884514503,17.150788677347606
1,2416,2.490126072939308,46.7655818402206
2,3283,3.3837267787498955,72.63630554341792
3,4067,4.191780934869273,86.4173723398132
4,4605,4.7462874858797655,116.99840450531651
5,5062,5.217308849842208,119.35005235861358
6,4587,4.72773522209131,117.96334484948125
7,4110,4.236100231697249,111.76110043783578
8,3761,3.8763924504655365,89.65815598743553
9,3440,3.545543746238087,99.66168504028106
10,3197,3.295088185093943,78.50798571888141
11,2998,3.089982602099356,85.68177508060118
12,2994,3.085859876813033,70.75981827027083
13,2827,2.913736096109033,84.52979081292078
14,2792,2.8776622498537034,73.31298081283796
15,2856,2.943625854434877,71.3897418349439
16,2842,2.9291963159327454,75.218595140133
17,2805,2.8910611070342545,66.72006283033474
18,2944,3.034325810733991,80.52576703304118
19,3073,3.167283701217919,73.0349194831767
20,3187,3.2847813718781347,83.6865904237356
21,3285,3.385788141393057,77.51436357489919
22,3224,3.322916580776626,92.69694258692958
23,3232,3.3311620313492725,82.75600887210632
24,3459,3.565126691348123,84.8041416898242
25,3639,3.750649329232674,93.31985339589076
26,3808,3.9248344725798363,85.72915756231652
27,3901,4.0206878354868545,108.01896041359387
28,4007,4.129940055574423,91.17840269131693
29,4024,4.147461638041297,107.30796345616518
30,4244,4.374211528789082,97.28131828263953
31,4217,4.346383133106399,119.10894713841874
32,4312,4.444297858656579,106.61755951154163
33,4463,4.599930738215286,111.43075882881811
34,4669,4.812251090460939,118.78153678708021
35,4787,4.933871486407478,110.22745899949906
36,4962,5.114240717684124,133.42469017719728
37,5127,5.284303135744963,117.09751069847471
38,5152,5.310070168784484,134.4653237576193
39,5238,5.398708762440436,122.49206375382637
40,5209,5.368819004114592,145.4206952563954
41,5259,5.4203530701936335,130.976533447673
42,5474,5.6419495543335145,133.19553261488215
43,5657,5.830564236182808,142.30521359840003
44,5831,6.009902786137874,131.58029832040387
45,6005,6.18924133609294,157.18858170005026
46,6173,6.362395798118521,140.72611911378175
47,6210,6.400531007017012,163.27658127128683
48,6546,6.746839931068174,145.3519405667953
49,6544,6.744778568425012,173.66503269321538
50,6651,6.855061469834162,163.5577593812649
51,6759,6.966375052564893,164.71683061371203
52,6881,7.092118173797755,164.82884918246745
53,6982,7.19621698727742,162.61805011585153
54,7347,7.5724156696544265,185.89642889536157
55,7574,7.806380329653277,170.01680422827033
56,7664,7.899141648595553,193.97267457680655
57,7829,8.069204066656392,172.20422744251215
58,7661,7.89604960463081,206.60606123072048
59,7669,7.904295055203456,185.93627915797833
60,7860,8.101155187625396,189.83878495040696
61,8213,8.464985694143433,192.48801111487154
62,8384,8.641232200133757,189.8955177730717
63,8489,8.749453738899746,213.75543581329467
64,8582,8.845307101806762,190.76535921305776
65,8617,8.881380948062093,215.95651349368458
66,8899,9.17203308074789,190.43512891762327
67,8853,9.12462173995517,231.79087063713067
68,8985,9.260671674403842,213.88504192812036
69,9044,9.321481872377111,219.90402707806442
70,9119,9.398782971495674,215.45114982808724
71,9121,9.400844334138835,205.3743022287498
72,9348,9.634808994137686,230.63643747063045
73,9657,9.953289522506164,209.95841819276635
74,9908,10.211990534222956,243.4469240346686
75,10209,10.522225612018788,215.25301165082595
76,10065,10.373807501711148,257.0726341741
