Link_ID in VISSIM,Length(km),Green_ratio,Lanes
811,0.062,1.0,1
812,0.061,1.0,1
813,0.035,1.0,1
814,0.14,1.0,3
815,0.151,0.33,2
816,0.151,0.17,1
817,0.511,1.0,3
818,0.103,1.0,3
819,0.081,1.0,3
820,0.152,0.17,1
821,0.152,0.33,2
822,0.365,1.0,3
823,0.157,0.33,2
824,0.155,0.17,1
825,0.524,1.0,3
826,0.28,1.0,3
827,0.117,1.0,3
828,0.159,0.33,2
829,0.158,0.17,1
830,0.039,1.0,1
831,0.102,1.0,1
832,0.102,1.0,1
833,0.192,1.0,1
834,0.188,0.33,1
835,0.179,0.5,1
836,0.187,1.0,1
837,0.14,1.0,1
838,0.138,0.5,1
839,0.118,0.5,1
840,0.119,1.0,1
841,0.36,0.33,1
842,0.365,1.0,1
843,0.345,1.0,3
844,0.151,0.33,2
845,0.151,0.17,1
846,0.503,1.0,3
847,0.177,1.0,3
848,0.231,1.0,3
849,0.152,0.17,1
850,0.152,0.33,2
851,0.341,1.0,3
852,0.157,0.33,2
853,0.155,0.17,1
854,0.493,1.0,3
855,0.512,1.0,3
856,0.348,1.0,3
857,0.159,0.33,2
858,0.158,0.17,1
859,0.203,1.0,3
860,0.062,1.0,1
861,0.061,1.0,1
862,0.201,1.0,1
863,0.14,1.0,3
864,0.151,0.33,2
865,0.151,0.17,1
866,0.511,1.0,3
867,0.382,1.0,3
868,0.217,1.0,3
869,0.152,0.17,1
870,0.152,0.33,2
871,0.11,1.0,3
872,0.157,0.33,2
873,0.155,0.17,1
874,0.224,1.0,3
875,0.512,1.0,3
876,0.348,1.0,3
877,0.159,0.33,2
878,0.158,0.17,1
879,0.207,1.0,1
880,0.043,1.0,1
881,0.042,1.0,1
882,0.11,0.67,3
883,0.211,0.67,3
884,0.355,1.0,1
885,0.343,1.0,1
886,0.086,0.5,1
887,0.114,1.0,1
888,0.086,1.0,1
889,0.113,1.0,1
930,0.349,1.0,3
931,0.151,0.33,2
932,0.151,0.17,1
933,0.503,1.0,3
934,0.14,1.0,3
935,0.119,1.0,3
936,0.152,0.17,1
937,0.152,0.33,2
938,0.341,1.0,3
939,0.157,0.33,2
940,0.155,0.17,1
941,0.493,1.0,3
942,0.142,1.0,3
943,0.093,1.0,3
944,0.159,0.33,2
945,0.158,0.17,1
946,0.203,1.0,3
947,0.062,1.0,1
948,0.061,1.0,1
949,0.035,1.0,1
950,0.14,1.0,3
951,0.151,0.33,2
952,0.151,0.17,1
953,0.511,1.0,3
954,0.078,1.0,3
955,0.04,1.0,3
956,0.152,0.17,1
957,0.152,0.33,2
958,0.346,1.0,3
959,0.157,0.33,2
960,0.155,0.17,1
961,0.503,1.0,3
962,0.28,1.0,3
963,0.117,1.0,3
964,0.159,0.33,2
965,0.158,0.17,1
966,0.039,1.0,1
967,0.102,1.0,1
968,0.102,1.0,1
969,0.192,1.0,1
970,0.188,0.33,1
971,0.179,0.5,1
972,0.187,1.0,1
973,0.14,1.0,1
974,0.138,0.5,1
975,0.118,0.5,1
976,0.119,1.0,1
977,0.36,0.33,1
978,0.365,1.0,1
979,0.095,1.0,3
980,0.151,0.33,2
981,0.151,0.17,1
982,0.249,1.0,3
983,0.177,1.0,3
984,0.231,1.0,3
985,0.152,0.17,1
986,0.152,0.33,2
987,0.341,1.0,3
988,0.157,0.33,2
989,0.155,0.17,1
990,0.493,1.0,3
991,0.512,1.0,3
992,0.348,1.0,3
993,0.159,0.33,2
994,0.158,0.17,1
995,0.203,1.0,3
996,0.062,1.0,1
997,0.061,1.0,1
998,0.201,1.0,1
999,0.14,1.0,3
1000,0.151,0.33,2
1001,0.151,0.17,1
1002,0.511,1.0,3
1003,0.382,1.0,3
1004,0.217,1.0,3
1005,0.152,0.17,1
1006,0.152,0.33,2
1007,0.362,1.0,3
1008,0.157,0.33,2
1009,0.155,0.17,1
1010,0.522,1.0,3
1011,0.512,1.0,3
1012,0.348,1.0,3
1013,0.159,0.33,2
1014,0.158,0.17,1
1015,0.207,1.0,1
1016,0.06,1.0,1
1017,0.06,1.0,1
1018,0.11,0.67,3
1019,0.211,0.67,3
1020,0.188,1.0,1
1021,0.031,1.0,1
1022,0.086,0.5,1
1023,0.114,1.0,1
1024,0.086,1.0,1
1025,0.113,1.0,1
1093,0.015,1.0,3
1094,0.151,0.33,2
1095,0.151,0.17,1
1096,0.283,1.0,3
1097,0.306,1.0,2
1098,0.143,1.0,2
1099,0.152,0.17,1
1100,0.152,0.33,1
1101,0.043,1.0,3
1102,0.157,0.33,2
1103,0.155,0.17,1
1104,0.199,1.0,3
1105,0.512,1.0,2
1106,0.348,1.0,2
1107,0.159,0.33,1
1108,0.158,0.17,1
1109,0.148,1.0,3
1110,0.062,1.0,1
1111,0.061,1.0,1
1220,0.03,1.0,2
1221,0.06,0.27,1
1222,0.095,1.0,2
1223,0.062,0.27,1
1496,0.061,0.36,1
1497,0.095,1.0,2
1498,0.165,1.0,2
1499,0.068,0.36,1
1500,0.261,0.36,1
1501,0.264,1.0,1
1547,0.072,0.36,1
1549,0.22,1.0,1
1725,0.14,1.0,3
1726,0.151,0.33,2
1727,0.151,0.17,1
1728,0.235,1.0,3
1729,0.497,1.0,3
1730,0.332,1.0,3
1731,0.152,0.17,1
1732,0.152,0.33,2
1733,0.167,1.0,3
1734,0.157,0.33,2
1735,0.155,0.17,1
1736,0.154,1.0,3
1737,0.512,1.0,3
1738,0.348,1.0,3
1739,0.159,0.33,2
1740,0.158,0.17,1
1741,0.075,1.0,3
1742,0.062,1.0,1
1743,0.061,1.0,1
1748,0.14,1.0,3
1749,0.151,0.33,2
1750,0.151,0.17,1
1751,0.242,1.0,3
1752,0.198,1.0,3
1753,0.064,1.0,3
1754,0.152,0.17,1
1755,0.152,0.33,2
1756,0.215,1.0,3
1757,0.157,0.33,2
1758,0.155,0.17,1
1759,0.231,1.0,3
1760,0.512,1.0,3
1761,0.348,1.0,3
1762,0.159,0.33,2
1763,0.158,0.17,1
1764,0.049,1.0,3
1765,0.062,1.0,1
1766,0.061,1.0,1
1771,0.14,1.0,3
1772,0.151,0.33,2
1773,0.151,0.17,1
1774,0.222,1.0,3
1775,0.194,1.0,3
1776,0.043,1.0,3
1777,0.152,0.17,1
1778,0.152,0.33,2
1779,0.173,1.0,3
1780,0.157,0.33,2
1781,0.155,0.17,1
1782,0.189,1.0,3
1783,0.194,1.0,3
1784,0.041,1.0,3
1785,0.159,0.33,2
1786,0.158,0.17,1
1787,0.08,1.0,3
1788,0.062,1.0,1
1789,0.061,1.0,1
1794,0.14,1.0,3
1795,0.151,0.33,2
1796,0.151,0.17,1
1797,0.231,1.0,3
1798,0.52,1.0,3
1799,0.354,1.0,3
1800,0.152,0.17,1
1801,0.152,0.33,2
1802,0.237,1.0,3
1803,0.157,0.33,2
1804,0.155,0.17,1
1805,0.273,1.0,3
1806,0.228,1.0,3
1807,0.069,1.0,3
1808,0.159,0.33,2
1809,0.158,0.17,1
1810,0.053,1.0,3
1811,0.062,1.0,1
1812,0.061,1.0,1
1817,0.14,1.0,3
1818,0.151,0.33,2
1819,0.151,0.17,1
1820,0.328,1.0,3
1821,0.136,1.0,2
1822,0.05,1.0,2
1823,0.152,0.17,1
1824,0.152,0.33,1
1825,0.08,1.0,3
1826,0.157,0.33,2
1827,0.155,0.17,1
1828,0.239,1.0,3
1829,0.32,1.0,2
1830,0.152,1.0,2
1831,0.159,0.33,1
1832,0.158,0.17,1
1833,0.058,1.0,3
1834,0.062,1.0,1
1835,0.061,1.0,1
1840,0.118,1.0,3
1841,0.151,0.33,2
1842,0.151,0.17,1
1843,0.269,1.0,3
1844,0.272,1.0,2
1845,0.11,1.0,2
1846,0.152,0.17,1
1847,0.152,0.33,1
1848,0.106,1.0,3
1849,0.157,0.33,2
1850,0.155,0.17,1
1851,0.266,1.0,3
1852,0.256,1.0,2
1853,0.092,1.0,2
1854,0.159,0.33,1
1855,0.158,0.17,1
1860,0.345,1.0,3
1861,0.151,0.33,2
