Density,weighted_flow
0,7.591614170177375e-13
10,468.30031139071644
20,738.6807261642215
30,814.5326624661287
40,689.6119140480406
50,541.2269653689624
60,446.5330010292394
70,350.19562425952415
80,262.4627855621745
90,249.97067383131127
100,249.97067383131127
110,249.38131172018478
