density,weighted_flow
0,9.094947017729282e-13
10,443.96829044117703
20,508.7714889167456
30,456.15858219024335
40,400.6546873398014
50,335.11627574832687
60,300.5369880311021
70,261.6038602941182
80,261.6038602941182
