Index,"Common node ID,(named swift nodes in GAMS codes)"
0,1
1,7
2,9
3,13
4,16
5,18
6,20
7,22
8,24
9,25
10,28
11,31
12,33
13,37
14,40
15,42
16,44
17,46
18,48
19,49
20,52
21,55
22,57
23,61
24,64
25,66
26,68
27,69
28,72
29,75
30,77
31,81
