,total_vehicle,weighted_density,weighted_flow
0,44,3.6675835625573083,51.98799699924984
1,69,5.75143785946487,110.26856714178551
2,82,6.835042093856802,154.0045011252814
3,83,6.918396265733104,175.41485371342844
4,66,5.501375343835963,199.84096024006007
5,65,5.41802117195966,189.87246811702934
6,33,2.7506876719179814,131.5528882220556
7,16,1.3336667500208395,74.07051762940739
8,20,1.6670834375260493,46.979744936234084
9,25,2.0838542969075613,52.17104276069021
10,25,2.0838542969075613,56.237059264816246
11,21,1.7504376094023517,47.3968492123031
12,37,3.084104359423191,60.675168792198086
13,30,2.5006251562890736,87.17779444861219
14,24,2.000500125031259,85.84846211552893
15,25,2.0838542969075613,55.08477119279824
16,23,1.9171459531549566,61.959489872468154
17,27,2.250562640660166,69.38334583645916
18,36,3.0007501875468887,91.78694673668423
19,47,3.9176460781862157,86.43360840210057
20,42,3.5008752188047034,87.79594898724685
21,40,3.3341668750520985,95.3698424606152
22,33,2.7506876719179814,118.71267816954244
23,36,3.0007501875468887,100.15903975994004
24,22,1.8337917812786542,95.96099024756195
25,49,4.08435442193882,90.75168792198055
26,40,3.3341668750520985,101.69542385596404
27,44,3.6675835625573083,115.95498874718686
28,45,3.750937734433611,104.22205551387854
29,56,4.667833625072937,90.87471867966997
30,66,5.501375343835963,120.81920480120037
31,48,4.001000250062518,152.2460615153789
32,43,3.584229390681006,115.07876969242317
33,51,4.251062765691425,118.17254313578404
34,48,4.001000250062518,137.30232558139542
35,66,5.501375343835963,128.23705926481628
36,70,5.8347920313411725,166.8537134283572
37,67,5.584729515712265,150.76669167291834
38,78,6.501625406351592,140.47711927982002
39,70,5.8347920313411725,142.50262565641415
40,56,4.667833625072937,164.9452363090774
41,58,4.834541968825542,145.61140285071278
42,46,3.8342919063099132,125.9984996249063
43,46,3.8342919063099132,127.92198049512385
44,78,6.501625406351592,135.91897974493634
45,75,6.251562890722685,176.44411102775706
46,75,6.251562890722685,170.82670667666926
47,75,6.251562890722685,144.43510877719433
48,88,7.335167125114617,141.6654163540886
49,66,5.501375343835963,200.09602400600158
50,88,7.335167125114617,204.15603900975256
51,70,5.8347920313411725,219.34283570892734
52,79,6.584979578227895,179.88597149287332
53,94,7.835292156372431,179.38484621155297
54,76,6.334917062598987,211.87696924231074
55,84,7.001750437609407,185.49737434358605
56,109,9.085604734516968,190.06151537884483
57,113,9.419021422022178,223.54688672168058
58,88,7.335167125114617,253.080270067517
59,78,6.501625406351592,220.72018004501143
60,102,8.50212553138285,208.54913728432118
61,101,8.418771359506549,260.15903975994024
62,115,9.585729765774783,232.36609152288085
63,108,9.002250562640665,265.34433608402117
64,102,8.50212553138285,222.325581395349
65,93,7.751937984496129,209.12228057014266
66,101,8.418771359506549,200.58214553638422
67,82,6.835042093856802,213.7314328582147
68,90,7.501875468867222,236.19204801200314
69,101,8.418771359506549,236.45311327831968
70,112,9.335667250145875,251.19879969992513
71,107,8.918896390764363,238.43060765191308
72,120,10.002500625156294,244.61215303825975
73,103,8.585479703259153,260.7981995498876
74,125,10.419271484537807,239.1717929482372
75,128,10.669334000166716,249.4613653413355
76,112,9.335667250145875,305.4163540885223
77,108,9.002250562640665,275.13878469617424
78,118,9.83579228140369,283.5318829707428
79,111,9.252313078269573,256.8402100525132
80,137,11.419521547053437,238.31657914478635
81,133,11.086104859548227,335.4598649662417
82,123,10.252563140785202,272.9662415603902
83,132,11.002750687671925,302.1815453863468
84,147,12.253063265816461,270.265566391598
85,131,10.919396515795622,307.12078019504895
86,135,11.252813203300832,291.7449362340587
87,135,11.252813203300832,323.46286571642935
88,131,10.919396515795622,309.0922730682672
89,137,11.419521547053437,310.3195798949739
90,144,12.003000750187555,308.7411852963242
91,162,13.503375843960999,315.7989497374345
92,151,12.586479953321671,344.09002250562656
93,177,14.753688422105535,331.75693923480884
94,169,14.086855047095115,353.64441110277596
95,126,10.50262565641411,362.7246811702928
96,120,10.002500625156294,324.2640660165042
97,144,12.003000750187555,305.7044261065268
98,168,14.003500875218814,345.9594898724683
99,156,13.003250812703184,372.4201050262568
100,153,12.753188297074276,314.2385596399102
101,153,12.753188297074276,343.25881470367614
102,176,14.670334250229233,319.69992498124554
103,183,15.25381345336335,346.0195048762193
104,161,13.420021672084696,378.8177044261067
105,151,12.586479953321671,367.3968492123034
106,153,12.753188297074276,392.2520630157541
107,147,12.253063265816461,342.15753938484636
108,174,14.503625906476628,368.7741935483873
109,182,15.170459281487048,392.54013503375865
110,177,14.753688422105535,395.4988747186799
111,195,16.25406351587898,337.13428357089293
112,180,15.003750937734443,417.16729182295603
113,204,17.0042510627657,397.18529632408126
114,180,15.003750937734443,395.8559639909979
115,186,15.503875968992258,422.22055513878496
116,180,15.003750937734443,390.9377344336086
117,176,14.670334250229233,393.809452363091
118,186,15.503875968992258,382.5176294073521
119,203,16.9208968908894,383.30382595648933
120,214,17.837792781528726,388.4681170292575
121,232,19.33816787530217,444.28507126781716
122,236,19.67158456280738,436.5701425356342
123,208,17.33766775027091,443.98499624906253
124,225,18.754688672168054,400.53413353338357
125,193,16.087355172126376,394.4486121530384
126,193,16.087355172126376,435.9129782445614
127,225,18.754688672168054,370.9527381845464
128,244,20.3384179378178,418.736684171043
129,257,21.422022172209733,435.99099774943755
130,216,18.00450112528133,434.8597149287325
131,242,20.171709594065195,388.915228807202
132,264,22.00550137534385,466.154538634659
133,293,24.42277235975662,459.8739684921233
134,287,23.922647328498805,420.21605401350365
135,297,24.75618904726183,424.6931732933235
136,341,28.42377260981914,438.60765191297855
137,350,29.17396015670586,434.9077269317332
138,354,29.50737684421107,412.0420105026258
139,342,28.50712678169544,491.41185296324113
140,337,28.09035592231393,470.3915978994752
141,360,30.007501875468886,476.1170292573146
142,381,31.757939484871237,418.3165791447865
143,392,32.67483537551056,462.76669167291845
144,429,35.758939734933755,430.3825956489125
145,470,39.176460781862154,451.5618904726185
146,456,38.00950237559392,426.81170292573165
147,491,40.92689839126451,415.70892723180816
148,479,39.926648328748875,435.75393848462136
149,507,42.26056514128535,438.96174043510905
150,487,40.593481703759295,453.5603900975247
151,511,42.593981828790554,415.53188297074297
152,502,41.84379428190383,441.0052513128284
153,518,43.17746103192467,416.95123780945255
154,520,43.34416937567728,459.86496624156064
155,522,43.510877719429885,419.1897974493627
156,567,47.26181545386349,435.45086271567914
157,541,45.09460698507963,450.28057014253585
158,593,49.42902392264736,470.80570142535663
159,568,47.3451696257398,456.0090022505629
160,598,49.84579478202887,447.6999249812456
161,599,49.92914895390517,434.16954238559657
162,635,52.92989914145206,463.6279069767445
163,657,54.76369092273072,429.34433608402134
164,647,53.930149203967694,423.1957989497377
165,701,58.43127448528802,419.0247561890475
166,655,54.596982578978114,456.1830457614406
167,695,57.93114945403021,434.0375093773446
168,654,54.513628407101805,478.63465866466646
169,686,57.180961907143484,424.68417104276097
170,660,55.01375343835962,444.27306826706706
171,659,54.93039926648332,424.75018754688693
172,661,55.09710761023592,444.22505626406627
173,681,56.764191047761976,402.3825956489124
174,709,59.09810786029844,421.00825206301596
175,655,54.596982578978114,478.2145536384099
176,687,57.26431607901979,458.9857464366093
177,656,54.680336750854416,452.5791447861969
178,676,56.34742018838046,412.0900225056266
179,669,55.76394098524634,432.8972243060768
180,672,56.014003500875255,436.4231057764444
181,675,56.26406601650416,452.08402100525154
182,666,55.51387846961744,459.8949737434362
183,695,57.93114945403021,443.762940735184
184,653,54.430274235225504,468.45611402850733
185,667,55.59723264149374,449.0262565641413
186,657,54.76369092273072,451.6189047261819
187,676,56.34742018838046,446.66766691672956
188,677,56.43077436025676,445.3563390847715
189,663,55.263815953988534,439.34283570892745
190,670,55.847295157122645,434.4426106526634
191,661,55.09710761023592,449.30832708177076
192,693,57.7644411102776,416.03600900225075
193,673,56.097357672751556,427.438859714929
194,687,57.26431607901979,469.24831207801975
195,645,53.763440860215084,470.22355588897256
196,689,57.431024422772396,420.20105026256584
197,658,54.84704509460702,455.0487621905479
198,666,55.51387846961744,420.8342085521383
199,677,56.43077436025676,447.5138784696176
200,674,56.18071184462786,427.12378094523655
201,690,57.5143785946487,401.74943735934005
202,656,54.680336750854416,451.6489122280572
203,681,56.764191047761976,432.2340585146289
