,total_vehicle,weighted_density,weighted_flow
166,10463,43.31034597,298.3147089
167,10760,44.5397422,263.4518631
168,10740,44.45695457,273.8389946
169,10988,45.48352112,263.0618837
170,11042,45.70704771,241.7158398
171,11258,46.60115406,264.484705
172,11288,46.7253355,231.0415511
173,11309,46.8122625,259.4748781
174,11487,47.54907236,215.9429262
175,11520,47.68567195,250.5147403
176,11691,48.39350614,222.700582
177,11745,48.61703273,223.793627
178,11855,49.07236466,224.8455431
179,12056,49.90438029,194.6968731
180,12102,50.09479183,229.6845957
181,12269,50.7860685,191.156659
182,12307,50.94336499,223.4587842
183,12590,52.11480988,179.1403167
184,12496,51.72570804,236.5572932
185,12767,52.84748036,199.9160699
186,12639,52.31763956,204.2864617
187,12867,53.26141848,189.1899231
188,12918,53.47252693,175.7146973
189,13076,54.12654916,204.3459198
190,13171,54.51979038,175.401015
191,13198,54.63155368,218.4958979
192,13422,55.55877507,176.662003
193,13311,55.09930376,214.7777566
194,13501,55.88578619,179.487081
195,13522,55.9727132,194.7470921
196,13688,56.65985049,178.3280211
197,13696,56.69296554,173.4733217
198,13874,57.4297754,185.7596841
199,13880,57.45461168,163.9679281
200,14009,57.98859187,199.2052554
201,14139,58.52671143,172.1507894
202,14186,58.72126235,208.4096332
203,14420,59.68987756,179.1966454
204,14463,59.86787095,185.9283721
205,14603,60.44738432,196.7992152
206,14629,60.55500824,187.5352303
207,14898,61.66850179,204.8484076
208,14907,61.70575622,179.6372909
209,15029,62.21076074,208.155707
210,15210,62.95998874,170.4336581
211,15108,62.53777185,204.4852514
212,15205,62.93929183,180.639137
213,15120,62.58744443,197.7106076
214,15203,62.93101307,182.9860172
215,15184,62.85236483,160.5065444
216,15300,63.33253305,174.6234405
217,15388,63.6967986,147.7108394
218,15425,63.84995571,174.417498
219,15447,63.9410221,156.4869403
220,15385,63.68438046,178.8546498
221,15540,64.32598455,162.1299435
222,15488,64.11073673,169.7067497
223,15566,64.43360846,172.6006739
224,15519,64.23905755,151.5224147
225,15584,64.50811733,169.3345034
226,15625,64.67783196,136.8006557
227,15660,64.8227103,167.6388307
228,15882,65.74165294,140.5465142
229,15807,65.43119934,176.7989503
230,16055,66.45776589,158.8414203
231,15902,65.82444056,179.1538774
232,16111,66.68957124,177.8911012
233,16044,66.4122327,161.3465573
234,16141,66.81375268,185.6722107
235,16148,66.84272835,151.0519658
236,16302,67.48019306,174.7422076
237,16418,67.96036129,145.0742688
238,16389,67.84031923,165.0234206
239,16535,68.44466889,139.6966661
240,16375,67.78236789,164.4483612
241,16539,68.46122642,151.6484837
242,16480,68.21700292,150.42326
243,16536,68.44880827,181.1273191
244,16466,68.15905158,157.821841
245,16525,68.40327508,176.71252
246,16656,68.94553402,150.8071297
247,16513,68.3536025,186.0487785
248,16689,69.0821336,154.1652441
249,16591,68.67647424,153.6165608
250,16716,69.1938969,150.095421
251,16687,69.07385484,139.6683528
252,16745,69.31393895,167.4516644
253,16696,69.11110927,148.7861513
254,16730,69.25184823,159.4486675
255,16816,69.60783502,141.1613614
256,16676,69.02832165,166.1972332
257,16727,69.23943009,155.8688147
258,16663,68.97450969,155.90443
259,16675,69.02418227,150.0648724
260,16602,68.72200743,147.9123113
261,16651,68.92483712,155.5506619
262,16701,69.13180618,122.6880811
263,16691,69.09041237,147.0405577
264,16770,69.41742348,125.1798064
265,16677,69.03246103,163.6754063
266,16768,69.40914472,146.9129985
267,16655,68.94139464,156.82074
268,16721,69.2145938,168.9546572
269,16762,69.38430843,152.2020846
270,16803,69.55402306,168.2486112
271,16835,69.68648326,149.4404881
272,16818,69.61611378,169.2491162
273,16846,69.73201646,162.9349372
274,16777,69.44639915,190.6571516
275,16760,69.37602967,177.5164706
276,16632,68.84618887,159.6844136
277,16693,69.09869113,165.2880761
278,16732,69.260127,149.6476228
279,16806,69.56644121,157.7518027
280,16777,69.44639915,148.7313128
281,16829,69.66164698,157.922279
282,16978,70.27841478,146.5014115
283,16858,69.78168903,163.0058696
284,16840,69.70718017,153.6065766
285,16738,69.28496328,142.18407
286,16775,69.43812039,144.6164863
287,16815,69.60369564,129.2360689
288,16867,69.81894346,156.0629848
289,16922,70.04660943,145.7947695
290,17031,70.49780199,152.9511967
291,17130,70.90760073,138.821336
292,16948,70.15423335,159.8286627
293,17008,70.40259622,150.3849625
294,16919,70.03419129,150.0414766
295,17002,70.37775993,160.7551059
296,16994,70.34464488,142.3004528
297,16986,70.31152983,173.6125042
298,17038,70.52677766,141.4398755
299,17057,70.6054259,167.4412332
300,17219,71.27600566,130.9822586
301,17021,70.45640818,153.4100223
302,17152,70.99866712,135.4864684
303,17082,70.70891043,131.3430305
304,17209,71.23461185,137.8002666
305,17296,71.59473802,123.1862473
306,17360,71.85965842,146.0916128
307,17384,71.95900357,127.2504077
308,17407,72.05420934,136.8152594
309,17506,72.46400808,126.8561068
310,17357,71.84724027,150.473926
311,17458,72.26531778,145.9951983
312,17417,72.09560315,152.751662
313,17617,72.9234794,149.8172049
314,17627,72.96487321,130.5012294
315,17673,73.15528475,137.1696236
316,17768,73.54852597,113.0533401
317,17755,73.49471401,142.0684323
318,17781,73.60233792,121.6850428
319,17696,73.25049052,137.2268464
320,17820,73.76377379,122.7575233
321,17736,73.41606577,124.5317284
322,17826,73.78861008,118.3856413
323,17877,73.99971852,110.4263066
324,17892,74.06180924,124.0772243
325,17846,73.8713977,115.2611867
326,17889,74.0493911,120.3474597
327,17924,74.19426944,115.9186529
328,17925,74.19840882,126.6421174
329,18074,74.81517663,114.6053597
330,17968,74.37640222,123.2176901
331,18002,74.51714118,124.6187547
332,17979,74.42193541,116.0694588
333,17902,74.10320305,139.9418003
334,17929,74.21496635,113.3992102
335,17865,73.95004595,142.1070278
336,17922,74.18599068,110.3199079
337,17772,73.56508349,139.3160749
338,17930,74.21910573,121.6626901
339,17815,73.74307688,117.0340506
340,17876,73.99557914,128.1936899
341,17855,73.90865213,118.8881291
342,17870,73.97074285,131.3682145
343,17952,74.31017212,112.7916649
344,17915,74.15701501,139.4233676
345,18075,74.81931601,125.7502463
346,17880,74.01213667,152.8924837
347,18052,74.72411024,123.0762722
348,17880,74.01213667,143.8722918
349,18042,74.68271643,140.9999752
350,18053,74.72824962,127.4706559
351,18035,74.65374076,148.1422457
352,18064,74.77378281,140.452037
353,18001,74.5130018,154.6455282
354,18079,74.83587353,118.4155939
355,18002,74.51714118,142.6595856
356,18161,75.1753028,131.2743334
357,18108,74.95591559,120.3571458
358,18132,75.05526074,126.218758
359,18057,74.74480715,124.0454835
360,18085,74.86070982,125.7122468
361,18143,75.10079393,113.724963
362,18122,75.01386693,141.9310379
363,18170,75.21255723,119.4482867
364,18110,74.96419435,136.2716428
365,18196,75.32018114,121.6853408
366,18099,74.91866116,117.1490922
367,18096,74.90624301,122.2572708
368,18117,74.99317002,106.9836991
369,18019,74.58751066,146.3081355
370,18203,75.34915681,127.076206
371,18142,75.09665455,148.7266932
372,18192,75.30362361,126.2998237
373,18023,74.60406818,139.8321233
374,18133,75.05940012,140.30898
375,17965,74.36398407,138.1437524
376,18027,74.62062571,134.1190817
377,17927,74.20668758,122.9288937
378,18001,74.5130018,135.2794827
379,17980,74.42607479,129.9106722
380,17783,73.61061669,152.6749178
381,17833,73.81758575,137.3234099
382,17760,73.51541092,147.9413698
383,17869,73.96660347,151.2099246
384,17773,73.56922287,146.6583272
385,17808,73.71410122,147.5461748
386,17824,73.78033132,135.1398531
387,17748,73.46573834,175.712462
388,17742,73.44090205,155.4141617
389,17639,73.01454579,176.1922991
390,17772,73.56508349,150.1448949
391,17681,73.1883998,156.2365905
392,17788,73.63131359,149.9279251
393,17773,73.56922287,140.0408971
394,17810,73.72237998,162.9765132
395,17868,73.96246409,133.9836246
396,17797,73.66856802,165.8443593
397,17900,74.09492429,135.2271775
398,17894,74.070088,151.8785671
399,0,0,133.9040491
