,weighted_flow
0,7.60013289527974e-13
10,463.33349290136385
20,730.6254146327501
30,795.7258012176156
40,758.3502343473713
50,749.1692394611423
60,733.0660156667002
70,731.1819146463719
80,731.1819146463719
90,731.1819146463719
