,weighted_flow
0,7.60013289527974e-13
10,456.6090333761448
20,720.8693014680655
30,745.9564381898384
40,606.5744302962948
50,487.6227156639496
60,418.0188089734276
70,300.7664601814472
80,250.351196099413
90,250.351196099413
100,249.40678125461716
