Index,Destination node ID
0,11
1,17
2,26
3,28
4,48
5,57
6,73
7,83
8,89
9,101
10,117
11,131
12,133
13,181
14,187
15,214
16,228
17,230
18,258
19,283
20,289
21,316
22,327
23,331
24,333
25,358
26,379
27,383
28,389
29,406
