Link_ID in VISSIM,Length(km),Green_ratio,Lanes
10041,0.006,1.0,1
10042,0.013,1.0,1
10043,0.012,1.0,1
10044,0.012,1.0,1
10045,0.006,1.0,1
10046,0.012,1.0,1
10047,0.011,1.0,1
10048,0.005,1.0,1
10049,0.012,1.0,1
10050,0.005,1.0,1
10051,0.012,1.0,1
10052,0.007,1.0,1
10053,0.005,1.0,1
10054,0.01,1.0,1
10055,0.007,1.0,1
10056,0.012,1.0,1
10057,0.006,1.0,1
10058,0.013,1.0,1
10059,0.012,1.0,1
10060,0.012,1.0,1
10061,0.006,1.0,1
10062,0.012,1.0,1
10063,0.011,1.0,1
10064,0.005,1.0,1
10065,0.012,1.0,1
10066,0.005,1.0,1
10067,0.012,1.0,1
10068,0.003,,1
10069,0.011,1.0,1
10070,0.008,1.0,1
10071,0.006,1.0,1
10072,0.005,1.0,1
10073,0.005,,1
10074,0.005,1.0,1
10075,0.005,1.0,1
10076,0.007,1.0,1
10077,0.005,1.0,1
10078,0.01,1.0,1
10079,0.007,1.0,1
10080,0.012,1.0,1
10081,0.006,1.0,1
10082,0.013,1.0,1
10083,0.012,1.0,1
10084,0.012,1.0,1
10085,0.006,1.0,1
10086,0.012,1.0,1
10087,0.011,1.0,1
10088,0.005,1.0,1
10089,0.012,1.0,1
10090,0.005,1.0,1
10091,0.012,1.0,1
10092,0.007,1.0,1
10093,0.005,1.0,1
10094,0.01,1.0,1
10095,0.007,1.0,1
10096,0.012,1.0,1
10097,0.006,1.0,1
10098,0.013,1.0,1
10099,0.012,1.0,1
10100,0.012,1.0,1
10101,0.006,1.0,1
10102,0.012,1.0,1
10103,0.011,1.0,1
10104,0.005,1.0,1
10105,0.012,1.0,1
10106,0.005,1.0,1
10107,0.012,1.0,1
10108,0.003,,1
10109,0.011,1.0,1
10110,0.008,1.0,1
10111,0.006,1.0,1
10112,0.007,1.0,1
10113,0.005,1.0,1
10114,0.01,1.0,1
10115,0.007,1.0,1
10116,0.012,1.0,1
10117,0.006,1.0,1
10118,0.013,1.0,1
10119,0.012,1.0,1
10120,0.012,1.0,1
10121,0.006,1.0,1
10122,0.012,1.0,1
10123,0.011,1.0,1
10124,0.005,1.0,1
10125,0.012,1.0,1
10126,0.005,1.0,1
