density,weighted_flow
0,8.978140926433285e-13
10,542.2003639330325
20,662.7447794141332
30,565.5881982387484
40,450.7566125673894
50,358.72728625155776
60,260.500015726869
70,149.67593493347002
80,37.56567425569188
90,37.56567425569188
100,37.26466725043793
